ASX listed companies as at Thu May 17 19:45:06 AEST 2018

Company name,ASX code,GICS industry group
"NATIONAL RMBS TRUST 2015-1 SERIES 2015-1","NAJ","Not Applic"
"NATIONAL RMBS TRUST 2016-1","NRM","Not Applic"
"NATIONAL RMBS TRUST 2018-1 IN RESPECT OF SERIES 2018-1","NRO","Not Applic"
"NATIONAL STORAGE REIT","NSR","Real Estate"
"NATIONAL TYRE & WHEEL LIMITED","NTD","Not Applic"
"NATIONAL VETERINARY CARE LTD","NVL","Health Care Equipment & Services"
"NAVARRE MINERALS LIMITED","NML","Materials"
"NAVIGATOR GLOBAL INVESTMENTS LIMITED","NGI","Diversified Financials"
"NAVIGATOR RESOURCES LIMITED","NAV","Materials"
"NAVITAS LIMITED","NVT","Consumer Services"
"NEARMAP LTD","NEA","Software & Services"
"NELSON RESOURCES LIMITED.","NES","Materials"
"NEMEX RESOURCES LIMITED","NXR","Materials"
"NEOMETALS LTD","NMT","Materials"
"NEPTUNE MARINE SERVICES LIMITED","NMS","Energy"
"NETCCENTRIC LIMITED","NCL","Media"
"NETCOMM WIRELESS LIMITED","NTC","Technology Hardware & Equipment"
"NETLINKZ LIMITED","NET","Software & Services"
"NETWEALTH GROUP LIMITED","NWL","Diversified Financials"
"NEUREN PHARMACEUTICALS LIMITED","NEU","Pharmaceuticals, Biotechnology & Life Sciences"
"NEUROTECH INTERNATIONAL LIMITED","NTI","Health Care Equipment & Services"
"NEW AGE EXPLORATION LIMITED","NAE","Energy"
"NEW CENTURY RESOURCES LIMITED","NCZ","Materials"
"NEW ENERGY SOLAR","NEW","Utilities"
"NEW HOPE CORPORATION LIMITED","NHC","Energy"
"NEW STANDARD ENERGY LIMITED","NSE","Energy"
"NEW TALISMAN GOLD MINES LIMITED","NTL","Materials"
"NEW WORLD COBALT LIMITED","NWC","Materials"
"NEW ZEALAND KING SALMON INVESTMENTS LIMITED","NZK","Food, Beverage & Tobacco"
"NEWCREST MINING LIMITED","NCM","Materials"
"NEWFIELD RESOURCES LIMITED","NWF","Materials"
"NEWS CORPORATION..","NWS","Media"
"NEX METALS EXPLORATION LIMITED","NME","Materials"
"NEXTDC LIMITED","NXT","Software & Services"
"NEXUS MINERALS LIMITED","NXM","Materials"
"NGE CAPITAL LIMITED","NGE","Not Applic"
"NIB HOLDINGS LIMITED","NHF","Insurance"
"NICHELIVING HOLDINGS LTD","NLH","Real Estate"
"NICK SCALI LIMITED","NCK","Retailing"
"NICKELORE LIMITED","NIO","Materials"
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED","NEC","Media"
"NIUMINCO GROUP LIMITED","NIU","Materials"
"NKWE PLATINUM LIMITED","NKP","Materials"
"NOBLE METALS LIMITED","NMM","Materials"
"NONI B LIMITED","NBL","Retailing"
"NORDIC INVESTMENT BANK","NIB","Not Applic"
"NORTHERN COBALT LIMITED","N27","Materials"
"NORTHERN MINERALS LIMITED","NTU","Materials"
"NORTHERN MINING LIMITED","NMI","Materials"
"NORTHERN STAR RESOURCES LTD","NST","Materials"
"NORWEST ENERGY NL","NWE","Energy"
"NORWOOD SYSTEMS LIMITED","NOR","Software & Services"
"NOVA MINERALS LIMITED","NVA","Materials"
"NOVATTI GROUP LIMITED","NOV","Software & Services"
"NOVITA HEALTHCARE LIMITED","NHL","Health Care Equipment & Services"
"NOVO LITIO LTD","NLI","Materials"
"NOVONIX LIMITED","NVX","Materials"
"NOXOPHARM LIMITED","NOX","Pharmaceuticals, Biotechnology & Life Sciences"
"NRW HOLDINGS LIMITED","NWH","Capital Goods"
"NSL CONSOLIDATED LIMITED","NSL","Materials"
"NSX LIMITED","NSX","Diversified Financials"
"NTM GOLD LIMITED","NTM","Materials"
"NUCOAL RESOURCES LIMITED","NCR","Materials"
"NUENERGY GAS LIMITED","NGY","Energy"
"NUFARM FINANCE (NZ) LIMITED","NFN","Not Applic"
"NUFARM LIMITED","NUF","Materials"
"NUHEARA LIMITED","NUH","Technology Hardware & Equipment"
"NUSANTARA RESOURCES LIMITED","NUS","Materials"
"NVOI LTD","NVO","Software & Services"
"NZME LIMITED","NZM","Media"
"NZURI COPPER LIMITED","NZC","Materials"
"OAKAJEE CORPORATION LIMITED","OKJ","Diversified Financials"
"OAKDALE RESOURCES LIMITED","OAR","Materials"
"OBJ LIMITED","OBJ","Pharmaceuticals, Biotechnology & Life Sciences"
"OBJECTIVE CORPORATION LIMITED","OCL","Software & Services"
"OCEAN GROWN ABALONE LIMITED","OGA","Food, Beverage & Tobacco"
"OCEAN GUARDIAN HOLDINGS LIMITED","OCG","Class Pend"
"OCEANAGOLD CORPORATION","OGC","Materials"
"OCEANIA CAPITAL PARTNERS LIMITED","OCP","Diversified Financials"
"OCEANIA HEALTHCARE LIMITED","OCA","Health Care Equipment & Services"
"OCTANEX LIMITED","OXX","Energy"
"ODIN ENERGY LIMITED","ODN","Energy"
"ODIN METALS LIMITED","ODM","Materials"
"ODYSSEY ENERGY LIMITED","ODY","Energy"
"OFX GROUP LIMITED","OFX","Diversified Financials"
"OIL SEARCH LIMITED","OSH","Energy"
"OILEX LTD","OEX","Energy"
"OKAPI RESOURCES LIMITED","OKR","Materials"
"OKLO RESOURCES LIMITED","OKU","Energy"
"OLDFIELDS HOLDINGS LIMITED","OLH","Capital Goods"
"OLIVER'S REAL FOOD LIMITED","OLI","Consumer Services"
"OM HOLDINGS LIMITED","OMH","Materials"
"OMNI MARKET TIDE LTD","OMT","Software & Services"
"ONCOSIL MEDICAL LTD","OSL","Pharmaceuticals, Biotechnology & Life Sciences"
"ONEALL INTERNATIONAL LIMITED","1AL","Consumer Durables & Apparel"
"ONEMARKET LIMITED","OMN","Class Pend"
"ONEVIEW HEALTHCARE PLC","ONE","Health Care Equipment & Services"
"ONEVUE HOLDINGS LIMITED","OVH","Diversified Financials"
"ONTERRAN LIMITED","OTR","Capital Goods"
"OOH!MEDIA LIMITED","OML","Media"
"OOKAMI LIMITED","OOK","Automobiles & Components"
"OPENDNA LIMITED","OPN","Commercial & Professional Services"
"OPTHEA LIMITED","OPT","Pharmaceuticals, Biotechnology & Life Sciences"
"OPTISCAN IMAGING LIMITED","OIL","Health Care Equipment & Services"
"OPUS GROUP LIMITED","OPG","Commercial & Professional Services"
"ORBITAL CORPORATION LIMITED","OEC","Capital Goods"
"ORECORP LIMITED","ORR","Materials"
"ORH LIMITED","ORH","Capital Goods"
"ORICA LIMITED","ORI","Materials"
"ORIENTAL TECHNOLOGIES INVESTMENT LIMITED","OTI","Capital Goods"
"ORIGIN ENERGY LIMITED","ORG","Energy"
"ORINOCO GOLD LIMITED","OGX","Materials"
"ORION EQUITIES LIMITED","OEQ","Diversified Financials"
"ORION HEALTH GROUP LIMITED","OHE","Health Care Equipment & Services"
"ORION METALS LIMITED","ORM","Materials"
"ORION MINERALS LTD","ORN","Materials"
"ORMINEX LTD","ONX","Materials"
"ORO VERDE LIMITED","OVL","Materials"
"OROCOBRE LIMITED","ORE","Materials"
"ORORA LIMITED","ORA","Materials"
"OROTONGROUP LIMITED","ORL","Retailing"
"ORTHOCELL LIMITED","OCC","Pharmaceuticals, Biotechnology & Life Sciences"
"OSPREY MEDICAL INC","OSP","Health Care Equipment & Services"
"OTHERLEVELS HOLDINGS LIMITED","OLV","Software & Services"
"OTTO ENERGY LIMITED","OEL","Energy"
"OVENTUS MEDICAL LIMITED","OVN","Health Care Equipment & Services"
"OVER THE WIRE HOLDINGS LIMITED","OTW","Software & Services"
"OZ MINERALS LIMITED","OZL","Materials"
"OZGROWTH LIMITED","OZG","Not Applic"
"P2P TRANSPORT LIMITED","P2P","Not Applic"
"PACIFIC AMERICAN COAL LIMITED","PAK","Materials"
"PACIFIC BAUXITE LIMITED","PBX","Materials"
"PACIFIC CURRENT GROUP LIMITED","PAC","Diversified Financials"
"PACIFIC DAIRIES LIMITED","PDF","Food, Beverage & Tobacco"
"PACIFIC ENERGY LIMITED","PEA","Utilities"
"PACIFIC SMILES GROUP LIMITED","PSQ","Health Care Equipment & Services"
"PACIFIC STAR NETWORK LIMITED","PNW","Media"
"PACIFICO MINERALS LIMITED","PMY","Materials"
"PACT GROUP HOLDINGS LTD","PGH","Materials"
"PAINCHEK LTD","PCK","Health Care Equipment & Services"
"PALADIN ENERGY LTD","PDN","Energy"
"PAN ASIA CORPORATION LIMITED","PZC","Energy"
"PANCONTINENTAL OIL & GAS NL","PCL","Energy"
"PANORAMA SYNERGY LTD","PSY","Software & Services"
"PANORAMIC RESOURCES LIMITED","PAN","Materials"
"PANTERRA GOLD LIMITED","PGI","Materials"
"PANTORO LIMITED","PNR","Materials"
"PAPYRUS AUSTRALIA LIMITED","PPY","Materials"
"PARADIGM BIOPHARMACEUTICALS LIMITED..","PAR","Pharmaceuticals, Biotechnology & Life Sciences"
"PARAGON CARE LIMITED","PGC","Health Care Equipment & Services"
"PARINGA RESOURCES LIMITED","PNL","Energy"
"PARKD LTD","PKD","Commercial & Professional Services"
"PARKWAY MINERALS NL","PWN","Materials"
"PATRYS LIMITED","PAB","Pharmaceuticals, Biotechnology & Life Sciences"
"PAYGROUP LIMITED","PYG","Class Pend"
"PEAK RESOURCES LIMITED","PEK","Materials"
"PEAKO LIMITED","PKO","Energy"
"PEARL GLOBAL LIMITED","PG1","Commercial & Professional Services"
"PEEL MINING LIMITED","PEX","Materials"
"PEET LIMITED","PPC","Real Estate"
"PEGASUS METALS LIMITED","PUN","Materials"
"PELICAN RESOURCES LIMITED","PEL","Materials"
"PENDAL GROUP LIMITED","PDL","Diversified Financials"
"PENGANA CAPITAL GROUP LIMITED","PCG","Diversified Financials"
"PENGANA INTERNATIONAL EQUITIES LIMITED","PIA","Diversified Financials"
"PENINSULA ENERGY LIMITED","PEN","Energy"
"PENINSULA MINES LIMITED","PSM","Materials"
"PENTAL LIMITED","PTL","Household & Personal Products"
"PEOPLE INFRASTRUCTURE LTD","PPE","Commercial & Professional Services"
"PEPINNINI LITHIUM LIMITED","PNN","Materials"
"PEPPER I-PRIME 2017-3 TRUST","PEP","Not Applic"
"PEPPERMINT INNOVATION LIMITED","PIL","Software & Services"
"PERPETUAL EQUITY INVESTMENT COMPANY LIMITED","PIC","Not Applic"
"PERPETUAL LIMITED","PPT","Diversified Financials"
"PERPETUAL RESOURCES LIMITED","PEC","Materials"
"PERSEUS MINING LIMITED","PRU","Materials"
"PETRATHERM LTD","PTR","Utilities"
"PETREL ENERGY LIMITED","PRL","Energy"
"PETSEC ENERGY LIMITED","PSA","Energy"
"PHARMAUST LIMITED","PAA","Pharmaceuticals, Biotechnology & Life Sciences"
"PHARMAXIS LTD","PXS","Pharmaceuticals, Biotechnology & Life Sciences"
"PHILEO AUSTRALIA LIMITED","PHI","Real Estate"
"PHOSLOCK WATER SOLUTIONS LIMITED","PHK","Commercial & Professional Services"
"PHOSPHAGENICS LIMITED","POH","Pharmaceuticals, Biotechnology & Life Sciences"
"PHYLOGICA LIMITED","PYC","Pharmaceuticals, Biotechnology & Life Sciences"
"PIEDMONT LITHIUM LTD","PLL","Materials"
"PILBARA MINERALS LIMITED","PLS","Materials"
"PILOT ENERGY LIMITED","PGY","Energy"
"PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","PNI","Diversified Financials"
"PIONEER CREDIT LIMITED","PNC","Diversified Financials"
"PIONEER RESOURCES LIMITED","PIO","Materials"
"PISTON MACHINERY LTD.","PZM","Class Pend"
"PLACES FOR PEOPLE TREASURY PLC","PPZ","Not Applic"
"PLANET GAS LIMITED","PGS","Energy"
"PLATINA RESOURCES LIMITED","PGM","Materials"
"PLATINUM ASIA INVESTMENTS LIMITED","PAI","Not Applic"
"PLATINUM ASSET MANAGEMENT LIMITED","PTM","Diversified Financials"
"PLATINUM CAPITAL LIMITED","PMC","Diversified Financials"
"PLATO INCOME MAXIMISER LIMITED.","PL8","Not Applic"
"PLC FINANCIAL SOLUTIONS LIMITED","PLC","Diversified Financials"
"PLUKKA LIMITED","PKA","Diversified Financials"
"PLUS CONNECT LIMITED","PC1","Software & Services"
"PM CAPITAL ASIAN OPPORTUNITIES FUND LIMITED","PAF","Not Applic"
"PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED","PGF","Not Applic"
"PMP LIMITED","PMP","Commercial & Professional Services"
"PNX METALS LIMITED","PNX","Materials"
"PO VALLEY ENERGY LIMITED","PVE","Energy"
"PODIUM MINERALS LIMITED","POD","Materials"
"POINTERRA LIMITED","3DP","Software & Services"
"POLARX LIMITED","PXX","Materials"
"POLYNOVO LIMITED","PNV","Pharmaceuticals, Biotechnology & Life Sciences"
"POSEIDON NICKEL LIMITED","POS","Materials"
"POWER ASIA LIMITED","P88","Capital Goods"
"POWERHOUSE VENTURES LIMITED","PVL","Commercial & Professional Services"
"POZ MINERALS LIMITED","POZ","Materials"
"PPK GROUP LIMITED","PPK","Capital Goods"
"PRAEMIUM LIMITED","PPS","Software & Services"
"PRAIRIE MINING LIMITED","PDZ","Materials"
"PRANA BIOTECHNOLOGY LIMITED","PBT","Pharmaceuticals, Biotechnology & Life Sciences"
"PREDICTIVE DISCOVERY LIMITED","PDI","Materials"
"PREMIER INVESTMENTS LIMITED","PMV","Retailing"
"PRESCIENT THERAPEUTICS LIMITED","PTX","Pharmaceuticals, Biotechnology & Life Sciences"
"PRIMARY HEALTH CARE LIMITED","PRY","Health Care Equipment & Services"
"PRIME FINANCIAL GROUP LIMITED","PFG","Diversified Financials"
"PRIME MEDIA GROUP LIMITED","PRT","Media"
"PRO MEDICUS LIMITED","PME","Health Care Equipment & Services"
"PRO-PAC PACKAGING LIMITED","PPG","Materials"
"PROBIOTEC LIMITED","PBP","Pharmaceuticals, Biotechnology & Life Sciences"
"PROGRESS 2010-1 TRUST","POB","Not Applic"
"PROGRESS 2017-2 TRUST","POT","Not Applic"
"PROPEL FUNERAL PARTNERS LIMITED","PFP","Consumer Services"
"PROPERTY CONNECT HOLDINGS LIMITED","PCH","Software & Services"
"PROPERTYLINK GROUP","PLG","Real Estate"
"PROPHECY INTERNATIONAL HOLDINGS LIMITED","PRO","Software & Services"
"PROSPECT RESOURCES LIMITED","PSC","Materials"
"PROTEAN ENERGY LIMITED","POW","Capital Goods"
"PROTEOMICS INTERNATIONAL LABORATORIES LTD","PIQ","Pharmaceuticals, Biotechnology & Life Sciences"
"PS&C LIMITED","PSZ","Commercial & Professional Services"
"PSC INSURANCE GROUP LIMITED","PSI","Insurance"
"PTB GROUP LIMITED","PTB","Capital Goods"
"PUBLIC HOLDINGS (AUSTRALIA) LIMITED","PHA","Diversified Financials"
"PUMA MASTERFUND P-16","PUB","Not Applic"
"PUMA MASTERFUND S-8","PUG","Not Applic"
"PUMA SERIES 2013-1","PUJ","Not Applic"
"PUMA SERIES 2014-1","PUK","Not Applic"
"PUMA SERIES 2014-2","PUO","Not Applic"
"PUMA SERIES 2014-4P","PUQ","Not Applic"
"PUMA SERIES 2015-1","PUU","Not Applic"
"PUMA SERIES 2015-3","PUV","Not Applic"
"PUMA SERIES 2017-1","PUZ","Not Applic"
"PURA VIDA ENERGY NL","PVD","Energy"
"PURE MINERALS LIMITED","PM1","Materials"
"PUREPROFILE LTD","PPL","Software & Services"
"PURIFLOH LIMITED","PO3","Utilities"
"PURSUIT MINERALS LTD","PUR","Materials"
"PUSHPAY HOLDINGS LIMITED","PPH","Software & Services"
"PWR HOLDINGS LIMITED","PWH","Automobiles & Components"
"PYROLYX AG","PLX","Materials"
"Q TECHNOLOGY GROUP LIMITED","QTG","Technology Hardware & Equipment"
"QANTAS AIRWAYS LIMITED","QAN","Transportation"
"QANTM INTELLECTUAL PROPERTY LIMITED","QIP","Commercial & Professional Services"
"QBE INSURANCE GROUP LIMITED","QBE","Insurance"
"QMS MEDIA LIMITED","QMS","Media"
"QNB FINANCE LTD","QNB","Not Applic"
"QRXPHARMA LTD","QRX","Pharmaceuticals, Biotechnology & Life Sciences"
"QUANTIFY TECHNOLOGY HOLDINGS LIMITED","QFY","Technology Hardware & Equipment"
"QUANTUM ENERGY LIMITED.","QTM","Consumer Durables & Apparel"
"QUANTUM GRAPHITE LIMITED","QGL","Materials"
"QUBE HOLDINGS LIMITED","QUB","Transportation"
"QUEBEC","QBC","Not Applic"
"QUEENSLAND BAUXITE LIMITED","QBL","Materials"
"QUEENSLAND TREASURY CORPORATION","XQL","Not Applic"
"QUEST INVESTMENTS LIMITED","QST","Diversified Financials"
"QUESTE COMMUNICATIONS LIMITED","QUE","Telecommunication Services"
"QUESTUS LIMITED","QSS","Diversified Financials"
"QUICKSTEP HOLDINGS LIMITED","QHL","Capital Goods"
"QUINTIS LTD","QIN","Materials"
"QV EQUITIES LIMITED","QVE","Not Applic"
"R3D GLOBAL LIMITED","R3D","Media"
"RACE ONCOLOGY LTD","RAC","Pharmaceuticals, Biotechnology & Life Sciences"
"RAFAELLA RESOURCES LTD.","RFR","Materials"
"RAFFLES CAPITAL LIMITED","RAF","Diversified Financials"
"RAIDEN RESOURCES LIMITED","RDN","Materials"
"RAIZ INVEST LIMITED","RZI","Class Pend"
"RAMELIUS RESOURCES LIMITED","RMS","Materials"
"RAMS MORTGAGE SECURITIES TRUST SERIES 2006-1","RMM","Not Applic"
"RAMS MORTGAGE SECURITIES TRUST SERIES 2007-2H","RMH","Not Applic"
"RAMSAY HEALTH CARE LIMITED","RHC","Health Care Equipment & Services"
"RAND MINING LIMITED","RND","Materials"
"RANGE INTERNATIONAL LIMITED","RAN","Materials"
"RANGE RESOURCES LIMITED","RRS","Energy"
"RAPTIS GROUP LIMITED","RPG","Real Estate"
"RAPTOR RESOURCES LIMITED","RPL","Class Pend"
"RAVEN ENERGY LIMITED","REL","Energy"
"RAWSON OIL AND GAS LTD","RAW","Energy"
"RBR GROUP LIMITED","RBR","Materials"
"RCR TOMLINSON LIMITED","RCR","Capital Goods"
"REA GROUP LTD","REA","Software & Services"
"READCLOUD LIMITED","RCL","Software & Services"
"REAL ENERGY CORPORATION LIMITED","RLE","Energy"
"REAL ESTATE INVESTAR GROUP LIMITED","REV","Software & Services"
"REALM RESOURCES LIMITED","RRP","Materials"
"RECCE PHARMACEUTICALS LTD","RCE","Pharmaceuticals, Biotechnology & Life Sciences"
"RECKON LIMITED","RKN","Software & Services"
"RECTIFIER TECHNOLOGIES LTD","RFT","Capital Goods"
"RED 5 LIMITED","RED","Materials"
"RED EMPEROR RESOURCES NL","RMP","Energy"
"RED HILL IRON LIMITED","RHI","Materials"
"RED METAL LIMITED","RDM","Materials"
"RED MOUNTAIN MINING LIMITED","RMX","Materials"
"RED RIVER RESOURCES LIMITED","RVR","Materials"
"RED SKY ENERGY LIMITED.","ROG","Energy"
"REDBANK COPPER LIMITED","RCP","Materials"
"REDBUBBLE LIMITED","RBL","Software & Services"
"REDFLEX HOLDINGS LIMITED","RDF","Technology Hardware & Equipment"
"REDFLOW LIMITED","RFX","Capital Goods"
"REDHILL EDUCATION LIMITED","RDH","Consumer Services"
"REDSTONE RESOURCES LIMITED","RDS","Materials"
"REECE LIMITED","REH","Capital Goods"
"REEDY LAGOON CORPORATION LIMITED","RLC","Materials"
"REEF CASINO TRUST","RCT","Consumer Services"
"REFFIND LIMITED","RFN","Software & Services"
"REFRESH GROUP LIMITED","RGP","Food, Beverage & Tobacco"
"REGENEUS LTD","RGS","Pharmaceuticals, Biotechnology & Life Sciences"
"REGIONAL EXPRESS HOLDINGS LIMITED","REX","Transportation"
"REGIS HEALTHCARE LIMITED","REG","Health Care Equipment & Services"
"REGIS RESOURCES LIMITED","RRL","Materials"
"REGISTRY DIRECT LIMITED","RD1","Software & Services"
"RELIANCE WORLDWIDE CORPORATION LIMITED","RWC","Capital Goods"
"RENASCOR RESOURCES LIMITED","RNU","Energy"
"RENEGADE EXPLORATION LIMITED","RNX","Materials"
"RENT.COM.AU LIMITED","RNT","Software & Services"
"RENU ENERGY LIMITED","RNE","Utilities"
"RESAPP HEALTH LIMITED","RAP","Health Care Equipment & Services"
"RESIMAC BASTILLE TRUST SERIES 2017-1NC","RT9","Not Applic"
"RESIMAC TRIOMPHE TRUST PREMIER 2017-2","RTC","Not Applic"
"RESMED INC","RMD","Health Care Equipment & Services"
"RESOLUTE MINING LIMITED","RSG","Materials"
"RESONANCE HEALTH LIMITED","RHT","Health Care Equipment & Services"
"RESOURCE BASE LIMITED","RBX","Materials"
"RESOURCE DEVELOPMENT GROUP LIMITED","RDG","Materials"
"RESOURCE GENERATION LIMITED","RES","Energy"
"RESOURCE MINING CORPORATION LIMITED","RMI","Materials"
"RESOURCES & ENERGY GROUP LIMITED","REZ","Materials"
"RESPIRI LIMITED","RSH","Health Care Equipment & Services"
"RESTAURANT BRANDS NEW ZEALAND LIMITED","RBD","Consumer Services"
"RETAIL FOOD GROUP LIMITED","RFG","Consumer Services"
"RETECH TECHNOLOGY CO., LIMITED","RTE","Consumer Services"
"REVA MEDICAL, INC","RVA","Health Care Equipment & Services"
"REVERSE CORP LIMITED","REF","Telecommunication Services"
"REWARD MINERALS LTD","RWD","Materials"
"REWARDLE HOLDINGS LIMITED","RXH","Software & Services"
"REX MINERALS LIMITED","RXM","Materials"
"REY RESOURCES LIMITED","REY","Energy"
"RHINOMED LIMITED","RNO","Pharmaceuticals, Biotechnology & Life Sciences"
"RHIPE LIMITED","RHP","Software & Services"
"RHS LIMITED","RHS","Pharmaceuticals, Biotechnology & Life Sciences"
"RHYTHM BIOSCIENCES LIMITED","RHY","Health Care Equipment & Services"
"RIDLEY CORPORATION LIMITED","RIC","Food, Beverage & Tobacco"
"RIEDEL RESOURCES LIMITED","RIE","Materials"
"RIFT VALLEY RESOURCES LIMITED.","RVY","Materials"
"RIGHTCROWD LIMITED","RCW","Software & Services"
"RIMFIRE PACIFIC MINING NL","RIM","Materials"
"RIO TINTO LIMITED","RIO","Materials"
"RISION LIMITED","RNL","Software & Services"
"RIVERSGOLD LIMITED","RGL","Materials"
"RMA ENERGY LIMITED","RMT","Materials"
"RMG LIMITED","RMG","Materials"
"RNY PROPERTY TRUST","RNY","Real Estate"
"ROBO 3D LIMITED","RBO","Capital Goods"
"RONGYU PHARMACEUTICALS LIMITED","RY8","Pharmaceuticals, Biotechnology & Life Sciences"
"ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD","ROO","Capital Goods"
"ROTO-GRO INTERNATIONAL LIMITED","RGI","Capital Goods"
"ROX RESOURCES LIMITED","RXL","Materials"
"ROYALCO RESOURCES LIMITED","RCO","Materials"
"RPMGLOBAL HOLDINGS LIMITED","RUL","Software & Services"
"RTG MINING INC.","RTG","Materials"
"RUBICOR GROUP LIMITED","RUB","Commercial & Professional Services"
"RUMBLE RESOURCES LIMITED","RTR","Materials"
"RURAL FUNDS GROUP","RFF","Real Estate"
"RURALCO HOLDINGS LIMITED","RHL","Retailing"
"RXP SERVICES LIMITED","RXP","Software & Services"
"RYDER CAPITAL LIMITED","RYD","Not Applic"
"S2 RESOURCES LTD","S2R","Materials"
"SABRE RESOURCES LIMITED","SBR","Materials"
"SACGASCO LIMITED","SGC","Energy"
"SAFEROADS HOLDINGS LIMITED","SRH","Technology Hardware & Equipment"
"SAGALIO ENERGY LIMITED","SAN","Materials"
"SALMAT LIMITED","SLM","Commercial & Professional Services"
"SALT LAKE POTASH LIMITED","SO4","Materials"
"SAMSON OIL & GAS LIMITED","SSN","Energy"
"SANDFIRE RESOURCES NL","SFR","Materials"
"SANDON CAPITAL INVESTMENTS LIMITED","SNC","Not Applic"
"SANTA FE MINERALS LTD","SFM","Materials"
"SANTANA MINERALS LIMITED","SMI","Materials"
"SANTOS FINANCE LIMITED","SFV","Not Applic"
"SANTOS LIMITED","STO","Energy"
"SARACEN MINERAL HOLDINGS LIMITED","SAR","Materials"
"SATURN METALS LIMITED","STN","Materials"
"SAUNDERS INTERNATIONAL LIMITED","SND","Capital Goods"
"SAYONA MINING LIMITED","SYA","Materials"
"SCENTRE GROUP","SCG","Real Estate"
"SCENTRE GROUP TRUST 1","SCW","Real Estate"
"SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2","SCA","Not Applic"
"SCHAFFER CORPORATION LIMITED","SFC","Automobiles & Components"
"SCHROLE GROUP LTD","SCL","Software & Services"
"SCIDEV LTD","SDV","Materials"
"SCIGEN LIMITED","SIE","Pharmaceuticals, Biotechnology & Life Sciences"
"SCOTTISH PACIFIC GROUP LIMITED","SCO","Diversified Financials"
"SCOUT SECURITY LIMITED","SCT","Consumer Services"
"SDI LIMITED","SDI","Health Care Equipment & Services"
"SEAFARMS GROUP LIMITED","SFG","Food, Beverage & Tobacco"
"SEALINK TRAVEL GROUP LIMITED","SLK","Consumer Services"
"SECOS GROUP LTD","SES","Materials"
"SECURE2GO GROUP LIMITED","S2G","Class Pend"
"SECURITISED AUSTRALIAN MORTGAGE TRUST 2011-1","SAC","Not Applic"
"SEEK LIMITED","SEK","Commercial & Professional Services"
"SELECT HARVESTS LIMITED","SHV","Food, Beverage & Tobacco"
"SELFWEALTH LIMITED","SWF","Diversified Financials"
"SENETAS CORPORATION LIMITED","SEN","Technology Hardware & Equipment"
"SENEX ENERGY LIMITED","SXY","Energy"
"SENSEN NETWORKS LIMITED","SNS","Software & Services"
"SENSERA LIMITED","SE1","Semiconductors & Semiconductor Equipment"
"SEQUOIA FINANCIAL GROUP LTD","SEQ","Diversified Financials"
"SERIES 2009-1 WST TRUST","WSC","Not Applic"
"SERIES 2010-1 REDS TRUST","REK","Not Applic"
"SERIES 2010-2 REDS TRUST","RDA","Not Applic"
"SERIES 2011-1 WST TRUST","WSH","Not Applic"
"SERIES 2011-2 WST TRUST","WSJ","Not Applic"
"SERIES 2011-3 WST TRUST","WSN","Not Applic"
"SERIES 2012-1 WST TRUST","WSO","Not Applic"
"SERIES 2012-1E REDS TRUST","RFB","Not Applic"
"SERIES 2013-1 HARVEY TRUST","HTB","Not Applic"
"SERIES 2013-1 WST TRUST","WSQ","Not Applic"
"SERIES 2013-2 WST TRUST","WSD","Not Applic"
"SERIES 2014-1 WST TRUST","WSZ","Not Applic"
"SERIES 2014-2 WST TRUST","WEK","Not Applic"
"SERIES 2015-1 WST TRUST","WEJ","Not Applic"
"SERIES 2017-1 REDS TRUST","RFC","Not Applic"
"SERKO LIMITED","SKO","Class Pend"
"SERPENTINE TECHNOLOGIES LIMITED","S3R","Software & Services"
"SERVCORP LIMITED","SRV","Real Estate"
"SERVICE STREAM LIMITED","SSM","Capital Goods"
"SERVTECH GLOBAL HOLDINGS LTD","SVT","Software & Services"
"SEVEN GROUP HOLDINGS LIMITED","SVW","Capital Goods"
"SEVEN WEST MEDIA LIMITED","SWM","Media"
"SG FLEET GROUP LIMITED","SGF","Commercial & Professional Services"
"SHAREROOT LTD","SRO","Software & Services"
"SHAVER SHOP GROUP LIMITED","SSG","Retailing"
"SHAW RIVER MANGANESE LIMITED","SRR","Materials"
"SHEFFIELD RESOURCES LIMITED","SFX","Materials"
"SHENHUA INTERNATIONAL LIMITED","SHU","Consumer Durables & Apparel"
"SHINE CORPORATE LTD","SHJ","Consumer Services"
"SHINHAN BANK.","SHZ","Not Applic"
"SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP","SCP","Real Estate"
"SHREE MINERALS LIMITED","SHH","Materials"
"SHRIRO HOLDINGS LIMITED","SHM","Consumer Durables & Apparel"
"SIBURAN RESOURCES LIMITED","SBU","Materials"
"SIENNA CANCER DIAGNOSTICS LIMITED","SDX","Pharmaceuticals, Biotechnology & Life Sciences"
"SIETEL LIMITED","SSL","Real Estate"
"SIGMA HEALTHCARE LIMITED","SIG","Health Care Equipment & Services"
"SIHAYO GOLD LIMITED","SIH","Materials"
"SILEX SYSTEMS LIMITED","SLX","Semiconductors & Semiconductor Equipment"
"SILVER CHEF LIMITED","SIV","Capital Goods"
